,March_BNB,March_BNB,March_BNB,April_BNB,April_BNB,April_BNB,May_BNB,May_BNB,May_BNB,June_BNB,June_BNB,June_BNB,July_BNB,July_BNB,July_BNB
,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label
67,,,,2022-04-21 10:48:30,-0.147521,Neutral,2022-05-28 10:47:36,0.087803,Neutral,2022-06-17 03:30:41,0.02051,Neutral,,,
68,,,,2022-04-21 13:58:43,-0.037244,Neutral,2022-05-30 02:56:34,0.063557,Neutral,2022-06-17 10:35:07,0.026397,Neutral,,,
69,,,,2022-04-21 18:18:39,-0.007755,Neutral,2022-05-30 12:09:38,0.014904,Neutral,2022-06-17 17:40:07,-0.234465,Somewhat-Bearish,,,
70,,,,2022-04-21 21:10:14,0.23733,Somewhat-Bullish,2022-05-30 14:00:00,0.050293,Neutral,2022-06-18 22:49:20,-0.550536,Bearish,,,
71,,,,2022-04-21 23:15:58,-0.195781,Somewhat-Bearish,2022-05-30 18:15:00,-0.055166,Neutral,2022-06-19 04:33:42,0.009285,Neutral,,,
72,,,,2022-04-21 23:30:13,-0.158048,Somewhat-Bearish,2022-05-30 19:30:00,-0.128332,Neutral,2022-06-20 12:49:22,-0.033172,Neutral,,,
73,,,,2022-04-22 08:08:44,0.02217,Neutral,,,,2022-06-20 19:08:14,-0.145263,Neutral,,,
74,,,,2022-04-24 14:09:00,0.015837,Neutral,,,,2022-06-21 05:18:43,0.043339,Neutral,,,
75,,,,2022-04-25 05:06:38,0.018255,Neutral,,,,2022-06-21 10:06:27,0.015375,Neutral,,,
76,,,,2022-04-25 18:05:00,-0.161765,Somewhat-Bearish,,,,2022-06-21 21:10:27,-0.0718,Neutral,,,
77,,,,2022-04-26 10:24:47,0.05209,Neutral,,,,2022-06-22 19:41:36,-0.036874,Neutral,,,
78,,,,2022-04-26 12:00:52,0.018234,Neutral,,,,2022-06-22 19:51:09,-0.230094,Somewhat-Bearish,,,
79,,,,2022-04-26 14:56:30,-0.018276,Neutral,,,,2022-06-23 10:10:00,-0.031661,Neutral,,,
80,,,,2022-04-26 18:54:22,0.010532,Neutral,,,,2022-06-23 19:56:08,-0.204679,Somewhat-Bearish,,,
81,,,,2022-04-26 19:45:00,-0.001255,Neutral,,,,2022-06-23 20:15:19,-0.159465,Somewhat-Bearish,,,
82,,,,2022-04-27 01:24:35,0.015049,Neutral,,,,2022-06-24 10:09:00,0.173281,Somewhat-Bullish,,,
83,,,,2022-04-27 08:13:00,-0.098587,Neutral,,,,2022-06-24 14:32:05,-0.015085,Neutral,,,
84,,,,2022-04-28 09:45:52,-0.023473,Neutral,,,,2022-06-27 18:16:23,-0.248882,Somewhat-Bearish,,,
85,,,,2022-04-28 11:45:00,0.0719,Neutral,,,,2022-06-28 01:28:33,-0.071071,Neutral,,,
86,,,,2022-04-28 11:58:19,0.063674,Neutral,,,,2022-06-28 06:19:01,0.046074,Neutral,,,
87,,,,2022-04-28 13:01:02,0.090525,Neutral,,,,2022-06-29 09:01:56,-0.11407,Neutral,,,
88,,,,2022-04-28 14:45:33,-0.019537,Neutral,,,,2022-06-29 13:00:00,0.049359,Neutral,,,
89,,,,2022-04-28 15:49:09,0.078808,Neutral,,,,2022-06-29 15:01:28,0.121526,Neutral,,,
90,,,,2022-04-29 03:09:48,0.031599,Neutral,,,,2022-06-29 17:47:59,-0.156569,Somewhat-Bearish,,,
91,,,,2022-04-29 05:14:30,-0.016509,Neutral,,,,2022-06-29 20:34:22,0.074615,Neutral,,,
92,,,,2022-04-29 10:06:32,0.048243,Neutral,,,,,,,,,
93,,,,2022-04-29 15:35:33,0.108889,Neutral,,,,,,,,,
94,,,,2022-04-29 16:55:49,0.073921,Neutral,,,,,,,,,
95,,,,2022-04-29 17:00:20,0.191284,Somewhat-Bullish,,,,,,,,,
96,,,,2022-04-29 18:43:46,0.021023,Neutral,,,,,,,,,
97,,,,2022-04-29 20:00:00,-0.050184,Neutral,,,,,,,,,
