Date,Open,High,Low,Close,Volume,Market Cap
7/17/2021,1876.47,1919.19,1844.45,1899.59,430300.5158,430300.5158
7/18/2021,1899.5,1993.79,1877.1,1891.64,534837.6365,534837.6365
7/19/2021,1891.65,1919,1805,1818.73,547419.9377,547419.9377
7/20/2021,1818.73,1841.34,1706,1786.03,786257.272,786257.272
7/21/2021,1786.03,2035.23,1747.55,1995.5,1115949.82,1115949.82
7/22/2021,1995.5,2046,1947.62,2024.56,768854.3659,768854.3659
7/23/2021,2024.27,2130.9,1993.22,2124.25,708160.9132,708160.9132
7/24/2021,2124.26,2199.5,2105.58,2184.75,633075.1859,633075.1859
7/25/2021,2184.9,2197.41,2105.93,2189.79,535630.27,535630.27
7/26/2021,2189.82,2433.65,2171.57,2228.08,1393738.163,1393738.163
7/27/2021,2227.81,2319.26,2150.5,2299.49,906359.2348,906359.2348
7/28/2021,2299.47,2345,2243.15,2300.9,718202.5773,718202.5773
7/29/2021,2300.9,2400,2266.12,2382.92,499364.835,499364.835
7/30/2021,2382.93,2471.7,2315.92,2461.81,762577.288,762577.288
7/31/2021,2461.77,2553.86,2420.68,2531.05,507601.0503,507601.0503
8/1/2021,2531.1,2697.61,2511.24,2555.69,853495.9408,853495.9408
8/2/2021,2555.5,2666,2507,2606.93,726701.8495,726701.8495
8/3/2021,2606.92,2632.44,2442.32,2509.04,792960.8438,792960.8438
8/4/2021,2508.51,2772.71,2457.68,2724.78,954590.7536,954590.7536
8/5/2021,2724.55,2843.98,2529.91,2826.99,1307720.207,1307720.207
8/6/2021,2827.01,2946.75,2720.06,2891.58,825399.4864,825399.4864
8/7/2021,2891.54,3171,2865.5,3160.31,1205277.101,1205277.101
8/8/2021,3160.48,3189.99,2949.03,3011.85,966349.7058,966349.7058
8/9/2021,3011.84,3186,2893.23,3160.52,1129584.616,1129584.616
8/10/2021,3160.51,3233,3051.22,3141.66,880675.7444,880675.7444
8/11/2021,3141.14,3274,3120.27,3160.5,732546.6043,732546.6043
8/12/2021,3160.4,3239,2979.29,3045.96,737628.4581,737628.4581
8/13/2021,3046.11,3327.83,3033.8,3322.32,579333.4032,579333.4032
8/14/2021,3322.33,3330.98,3200,3263.16,486102.5379,486102.5379
8/15/2021,3263.16,3320,3111.13,3307.09,565579.6777,565579.6777
8/16/2021,3307.35,3335,3135.22,3146.53,635667.0542,635667.0542
8/17/2021,3147.18,3290,2991.89,3011.72,804996.0697,804996.0697
8/18/2021,3011.73,3125.81,2950,3014.55,625103.2557,625103.2557
8/19/2021,3014.18,3188,2958.33,3184.12,634769.9217,634769.9217
8/20/2021,3184.11,3300,3177.16,3284.82,558127.4554,558127.4554
8/21/2021,3284.81,3309.16,3207,3223.43,421156.0908,421156.0908
8/22/2021,3223.36,3272,3126.42,3238,406479.0765,406479.0765
8/23/2021,3238,3377.89,3230.02,3321.28,602103.4461,602103.4461
8/24/2021,3321.28,3357.85,3147.31,3170.62,540480.0785,540480.0785
8/25/2021,3170.63,3248,3080,3226.87,483697.6944,483697.6944
8/26/2021,3226.88,3250,3053.3,3093.2,442298.4737,442298.4737
8/27/2021,3093.06,3280,3060.18,3273.45,451027.8071,451027.8071
